date,state,positive
20200122,Anhui,1
20200122,Beijing,14
20200122,Chongqing,6
20200122,Fujian,1
20200122,Gansu,0
20200122,Guangdong,26
20200122,Guangxi,2
20200122,Guizhou,1
20200122,Hainan,4
20200122,Hebei,1
20200122,Heilongjiang,0
20200122,Henan,5
20200122,Hong Kong,0
20200122,Hubei,444
20200122,Hunan,4
20200122,Inner Mongolia,0
20200122,Jiangsu,1
20200122,Jiangxi,2
20200122,Jilin,0
20200122,Liaoning,2
20200122,Ningxia,1
20200122,Shaanxi,0
20200122,Shandong,2
20200122,Shanghai,9
20200122,Shanxi,1
20200122,Sichuan,5
20200122,Tianjin,4
20200122,Xinjiang,0
20200122,Yunnan,1
20200122,Zhejiang,10
20200123,Anhui,9
20200123,Beijing,22
20200123,Chongqing,9
20200123,Fujian,5
20200123,Gansu,2
20200123,Guangdong,32
20200123,Guangxi,5
20200123,Guizhou,3
20200123,Hainan,5
20200123,Hebei,1
20200123,Heilongjiang,2
20200123,Henan,5
20200123,Hong Kong,2
20200123,Hubei,444
20200123,Hunan,9
20200123,Inner Mongolia,0
20200123,Jiangsu,5
20200123,Jiangxi,7
20200123,Jilin,1
20200123,Liaoning,3
20200123,Ningxia,1
20200123,Shaanxi,3
20200123,Shandong,6
20200123,Shanghai,16
20200123,Shanxi,1
20200123,Sichuan,8
20200123,Tianjin,4
20200123,Xinjiang,2
20200123,Yunnan,2
20200123,Zhejiang,27
20200124,Anhui,15
20200124,Beijing,36
20200124,Chongqing,27
20200124,Fujian,10
20200124,Gansu,2
20200124,Guangdong,53
20200124,Guangxi,23
20200124,Guizhou,3
20200124,Hainan,8
20200124,Hebei,2
20200124,Heilongjiang,4
20200124,Henan,9
20200124,Hong Kong,2
20200124,Hubei,549
20200124,Hunan,24
20200124,Inner Mongolia,1
20200124,Jiangsu,9
20200124,Jiangxi,18
20200124,Jilin,3
20200124,Liaoning,4
20200124,Ningxia,2
20200124,Shaanxi,5
20200124,Shandong,15
20200124,Shanghai,20
20200124,Shanxi,1
20200124,Sichuan,15
20200124,Tianjin,8
20200124,Xinjiang,2
20200124,Yunnan,5
20200124,Zhejiang,43
20200125,Anhui,39
20200125,Beijing,41
20200125,Chongqing,57
20200125,Fujian,18
20200125,Gansu,4
20200125,Guangdong,78
20200125,Guangxi,23
20200125,Guizhou,4
20200125,Hainan,19
20200125,Hebei,8
20200125,Heilongjiang,9
20200125,Henan,32
20200125,Hong Kong,5
20200125,Hubei,761
20200125,Hunan,43
20200125,Inner Mongolia,7
20200125,Jiangsu,18
20200125,Jiangxi,18
20200125,Jilin,4
20200125,Liaoning,17
20200125,Ningxia,3
20200125,Shaanxi,15
20200125,Shandong,27
20200125,Shanghai,33
20200125,Shanxi,6
20200125,Sichuan,28
20200125,Tianjin,10
20200125,Xinjiang,3
20200125,Yunnan,11
20200125,Zhejiang,62
20200126,Anhui,60
20200126,Beijing,68
20200126,Chongqing,75
20200126,Fujian,35
20200126,Gansu,7
20200126,Guangdong,111
20200126,Guangxi,36
20200126,Guizhou,5
20200126,Hainan,22
20200126,Hebei,13
20200126,Heilongjiang,15
20200126,Henan,83
20200126,Hong Kong,8
20200126,Hubei,1058
20200126,Hunan,69
20200126,Inner Mongolia,7
20200126,Jiangsu,33
20200126,Jiangxi,36
20200126,Jilin,4
20200126,Liaoning,21
20200126,Ningxia,4
20200126,Shaanxi,22
20200126,Shandong,46
20200126,Shanghai,40
20200126,Shanxi,9
20200126,Sichuan,44
20200126,Tianjin,14
20200126,Xinjiang,4
20200126,Yunnan,16
20200126,Zhejiang,104
20200127,Anhui,70
20200127,Beijing,80
20200127,Chongqing,110
20200127,Fujian,59
20200127,Gansu,14
20200127,Guangdong,151
20200127,Guangxi,46
20200127,Guizhou,7
20200127,Hainan,33
20200127,Hebei,18
20200127,Heilongjiang,21
20200127,Henan,128
20200127,Hong Kong,8
20200127,Hubei,1423
20200127,Hunan,100
20200127,Inner Mongolia,11
20200127,Jiangsu,47
20200127,Jiangxi,72
20200127,Jilin,6
20200127,Liaoning,27
20200127,Ningxia,7
20200127,Shaanxi,35
20200127,Shandong,75
20200127,Shanghai,53
20200127,Shanxi,13
20200127,Sichuan,69
20200127,Tianjin,23
20200127,Xinjiang,5
20200127,Yunnan,26
20200127,Zhejiang,128
20200128,Anhui,106
20200128,Beijing,91
20200128,Chongqing,132
20200128,Fujian,80
20200128,Gansu,19
20200128,Guangdong,207
20200128,Guangxi,51
20200128,Guizhou,9
20200128,Hainan,40
20200128,Hebei,33
20200128,Heilongjiang,33
20200128,Henan,168
20200128,Hong Kong,8
20200128,Hubei,3554
20200128,Hunan,143
20200128,Inner Mongolia,15
20200128,Jiangsu,70
20200128,Jiangxi,109
20200128,Jilin,8
20200128,Liaoning,34
20200128,Ningxia,11
20200128,Shaanxi,46
20200128,Shandong,95
20200128,Shanghai,66
20200128,Shanxi,27
20200128,Sichuan,90
20200128,Tianjin,24
20200128,Xinjiang,10
20200128,Yunnan,44
20200128,Zhejiang,173
20200129,Anhui,152
20200129,Beijing,111
20200129,Chongqing,147
20200129,Fujian,84
20200129,Gansu,24
20200129,Guangdong,277
20200129,Guangxi,58
20200129,Guizhou,9
20200129,Hainan,43
20200129,Hebei,48
20200129,Heilongjiang,38
20200129,Henan,206
20200129,Hong Kong,10
20200129,Hubei,3554
20200129,Hunan,221
20200129,Inner Mongolia,16
20200129,Jiangsu,99
20200129,Jiangxi,109
20200129,Jilin,9
20200129,Liaoning,39
20200129,Ningxia,12
20200129,Shaanxi,56
20200129,Shandong,130
20200129,Shanghai,96
20200129,Shanxi,27
20200129,Sichuan,108
20200129,Tianjin,27
20200129,Xinjiang,13
20200129,Yunnan,55
20200129,Zhejiang,296
20200130,Anhui,200
20200130,Beijing,114
20200130,Chongqing,182
20200130,Fujian,101
20200130,Gansu,26
20200130,Guangdong,354
20200130,Guangxi,78
20200130,Guizhou,12
20200130,Hainan,46
20200130,Hebei,65
20200130,Heilongjiang,44
20200130,Henan,278
20200130,Hong Kong,10
20200130,Hubei,4903
20200130,Hunan,277
20200130,Inner Mongolia,19
20200130,Jiangsu,129
20200130,Jiangxi,162
20200130,Jilin,14
20200130,Liaoning,41
20200130,Ningxia,17
20200130,Shaanxi,63
20200130,Shandong,158
20200130,Shanghai,112
20200130,Shanxi,35
20200130,Sichuan,142
20200130,Tianjin,31
20200130,Xinjiang,14
20200130,Yunnan,70
20200130,Zhejiang,428
20200131,Anhui,237
20200131,Beijing,139
20200131,Chongqing,211
20200131,Fujian,120
20200131,Gansu,29
20200131,Guangdong,436
20200131,Guangxi,87
20200131,Guizhou,29
20200131,Hainan,52
20200131,Hebei,82
20200131,Heilongjiang,59
20200131,Henan,352
20200131,Hong Kong,12
20200131,Hubei,5806
20200131,Hunan,332
20200131,Inner Mongolia,20
20200131,Jiangsu,168
20200131,Jiangxi,240
20200131,Jilin,14
20200131,Liaoning,48
20200131,Ningxia,21
20200131,Shaanxi,87
20200131,Shandong,184
20200131,Shanghai,135
20200131,Shanxi,39
20200131,Sichuan,177
20200131,Tianjin,32
20200131,Xinjiang,17
20200131,Yunnan,83
20200131,Zhejiang,538
20200201,Anhui,297
20200201,Beijing,168
20200201,Chongqing,247
20200201,Fujian,144
20200201,Gansu,40
20200201,Guangdong,535
20200201,Guangxi,100
20200201,Guizhou,29
20200201,Hainan,62
20200201,Hebei,96
20200201,Heilongjiang,80
20200201,Henan,422
20200201,Hong Kong,13
20200201,Hubei,7153
20200201,Hunan,389
20200201,Inner Mongolia,23
20200201,Jiangsu,202
20200201,Jiangxi,286
20200201,Jilin,17
20200201,Liaoning,64
20200201,Ningxia,26
20200201,Shaanxi,101
20200201,Shandong,206
20200201,Shanghai,169
20200201,Shanxi,47
20200201,Sichuan,207
20200201,Tianjin,41
20200201,Xinjiang,18
20200201,Yunnan,93
20200201,Zhejiang,599
20200202,Anhui,340
20200202,Beijing,191
20200202,Chongqing,300
20200202,Fujian,159
20200202,Gansu,51
20200202,Guangdong,632
20200202,Guangxi,111
20200202,Guizhou,38
20200202,Hainan,64
20200202,Hebei,104
20200202,Heilongjiang,95
20200202,Henan,493
20200202,Hong Kong,15
20200202,Hubei,11177
20200202,Hunan,463
20200202,Inner Mongolia,27
20200202,Jiangsu,236
20200202,Jiangxi,333
20200202,Jilin,23
20200202,Liaoning,70
20200202,Ningxia,28
20200202,Shaanxi,116
20200202,Shandong,230
20200202,Shanghai,182
