日期,安徽,北京,重庆,福建,甘肃,广东,广西,贵州,海南,河北,黑龙江,河南,香港,湖北,湖南,内蒙古,江苏,江西,吉林,辽宁,宁夏,陕西,山东,上海,山西,四川,天津,新疆,云南,浙江
2020/1/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/23,2.28,2.4,2,3.36,0.4,2.76,1.93,0.4,3.01,5.61,0.41,5.7,0.4,4.06,2.69,5.61,2.28,2.08,0.4,3.01,0.4,2.56,2.76,0.43,0.4,3.01,0.4,0.4,0.41,2.14
2020/1/24,2.17,1.97,2.36,3.01,3.84,2.56,1.87,0.46,2.76,5.49,2.08,5.43,0.47,3.67,2.5,3.01,2.69,2.88,0.46,2.76,0.46,2.4,2.9,1.47,3.84,3.14,2.56,0.46,2.08,1.88
2020/1/25,2.07,1.81,2.09,3.01,3.84,2.61,1.54,0.51,2.56,3.83,2.27,4.19,0.53,5.3,2.49,2.27,2.63,3.32,0.51,2.56,0.51,2.27,2.75,1.6,3.84,2.72,1.93,0.51,2.84,1.88
2020/1/26,2.23,1.72,1.94,2.67,3.49,2.59,1.07,0.55,2.06,3.83,2.27,3.48,0.57,3.96,2.77,2.75,2.7,2.76,0.55,2.06,2.56,2.43,2.58,1.85,3.49,2.62,2.27,2.56,2.9,2.39
2020/1/27,2.42,1.53,1.84,2.45,2.67,2.65,1.26,0.58,2.06,3.83,2.21,3.15,0.5,3.7,2.81,2.26,2.89,2.88,2.27,1.79,2.06,2.02,2.52,2.09,3.16,2.49,1.91,2.06,2.79,2.84
2020/1/28,2.43,1.51,1.63,2.07,2.25,2.56,1.18,3.03,1.58,3.54,2.14,2.81,0.52,2.87,2.65,1.97,2.74,2.87,1.87,1.61,2.56,2.11,2.34,2.16,2.89,2.44,1.68,1.73,2.63,2.98
2020/1/29,2.36,1.49,1.55,1.92,2.31,2.47,1.43,3.02,1.46,3.07,2.06,2.55,0.54,2.26,2.44,1.14,2.64,2.74,1.56,1.48,2.14,1.99,2.13,2.15,2.4,2.21,1.51,1.47,2.34,2.75
2020/1/30,2.22,1.47,1.64,1.73,2.04,2.31,1.33,2.88,1.37,2.52,2.13,2.27,0.55,2.66,2.2,1.64,2.39,2.53,1.37,1.58,2.34,1.9,1.86,2.03,2.33,2.11,1.4,1.31,2.04,2.35
2020/1/31,2.09,1.53,1.65,1.6,2.08,2.11,1.37,2.71,1.09,2.19,2.26,2.1,0.56,2.64,1.92,1.51,2.2,2.35,1.94,1.47,2.03,1.82,1.63,1.86,2.24,1.85,1.6,1.22,1.83,1.88
