,date,heal,dead,confirm,new_confirm,new_heal
0,1.20 ,25,6,291,0,0
1,1.23 ,34,25,835,544,9
2,1.24 ,38,41,1297,462,4
3,1.25 ,49,56,1985,688,11
4,1.26 ,51,80,2761,776,2
5,1.27 ,60,106,4535,1774,9
6,1.28 ,103,132,5997,1462,43
7,1.29 ,124,170,7736,1739,21
8,1.30 ,171,213,9720,1984,47
9,1.31 ,243,259,11821,2101,72
10,2.01 ,328,304,14411,2590,85
11,2.02 ,475,361,17238,2827,147
12,2.03 ,632,425,20471,3233,157
13,2.04 ,892,491,24363,3892,260
14,2.05 ,1153,564,28060,3697,261
15,2.06 ,1542,637,31211,3151,389
16,2.07 ,2052,723,34598,3387,510
17,2.08 ,2651,812,37251,2653,599
18,2.09 ,3283,909,40235,2984,632
19,2.10 ,3998,1017,42708,2473,715
20,2.11 ,4742,1114,44730,2022,744
21,2.12 ,5915,1368,59882,15152,1173
22,2.13 ,6728,1381,63932,4050,813
23,2.14 ,8101,1524,66576,2644,1373
24,2.15 ,9425,1666,68584,2008,1324
25,2.16 ,10853,1772,70635,2051,1428
26,2.17 ,12561,1870,72528,1893,1708
27,2.18 ,14387,2006,74279,1751,1826
28,2.19 ,16157,2121,75002,723,1770
29,2.20 ,18266,2239,75993,991,2109
30,2.21 ,20673,2348,76392,399,2407
31,2.22 ,22907,2445,77041,649,2234
32,2.23 ,24757,2595,77262,221,1850
33,2.24 ,27353,2666,77779,517,2596
34,2.25 ,29775,2718,78190,411,2422
35,2.26 ,32531,2747,78630,440,2756
36,2.27 ,36157,2791,78959,329,3626
37,2.28 ,39049,2838,79389,430,2892
38,2.29 ,41675,2873,79968,579,2626
39,3.01 ,44518,2915,80174,206,2843
40,3.02 ,47260,2946,80302,128,2742
41,3.03 ,49914,2984,80422,120,2654
42,3.04 ,52109,3015,80565,143,2195
43,3.05 ,53793,3045,80710,145,1684
44,3.06 ,55477,3073,80813,103,1684
45,3.07 ,57143,3100,80859,46,1666
46,3.08 ,58684,3123,80904,45,1541
47,3.09 ,59982,3140,80924,20,1298
48,3.10 ,61567,3162,80955,31,1585
49,3.11 ,62887,3173,80992,37,1320
50,3.12 ,64216,3180,81003,11,1329
51,3.13 ,65649,3194,81021,18,1433
52,3.14 ,67022,3204,81048,27,1373
53,3.15 ,67863,3218,81077,29,841
54,3.16 ,68799,3231,81116,39,936
55,3.17 ,69725,3242,81151,35,926
56,3.18 ,70547,3250,81235,84,822
57,3.19 ,71284,3253,81300,65,737
58,3.20 ,71876,3261,81416,116,592
59,3.21 ,72382,3267,81498,82,506
60,3.22 ,72841,3276,81600,102,459
61,3.23 ,73299,3283,81747,147,458
62,3.24 ,73791,3287,81846,99,492
63,3.25 ,74196,3293,81960,114,405
64,3.26 ,74737,3298,82078,118,541
65,3.27 ,75122,3301,82213,135,385
66,3.28 ,75600,3306,82341,128,478
67,3.29 ,75937,3311,82447,106,337
68,3.30 ,76225,3314,82545,98,288
69,3.31 ,76415,3321,82631,86,190
70,4.01 ,76610,3327,82724,93,195
71,4.02 ,76785,3331,82802,78,175
72,4.03 ,76984,3335,82861,59,199
73,4.04 ,77210,3338,82930,69,226
74,4.05 ,77348,3340,83005,75,138
75,4.06 ,77450,3340,83071,66,102
76,4.07 ,77586,3342,83157,86,136
77,4.08 ,77711,3344,83249,92,125
78,4.09 ,77838,3345,83305,56,127
79,4.10 ,77935,3349,83369,64,97
80,4.11 ,78020,3349,83482,113,85
81,4.12 ,78145,3351,83602,120,125
82,4.13 ,78262,3351,83696,94,117
83,4.14 ,78389,3352,83745,49,127
84,4.15 ,78504,3352,83797,52,115
85,4.17 ,77744,4642,84180,383,-760
86,4.18 ,77825,4642,84201,21,81
87,4.19 ,77895,4642,84237,36,70
88,4.20 ,77978,4642,84250,13,83
89,4.21 ,78042,4642,84287,37,64
90,4.22 ,78147,4642,84302,15,105
91,4.23 ,78236,4642,84311,9,89
92,4.24 ,78362,4642,84324,13,126
93,4.25 ,78450,4642,84338,14,88
94,4.26 ,78558,4643,84341,3,108
95,4.27 ,78664,4643,84347,6,106
96,4.28 ,78729,4643,84369,22,65
97,4.29 ,78785,4643,84373,4,56
98,4.30 ,78845,4643,84385,12,60
99,5.01 ,78905,4643,84388,3,60
100,5.02 ,78939,4643,84393,5,34
101,5.03 ,79016,4643,84400,7,77
102,5.04 ,79126,4643,84404,4,110
103,5.05 ,79204,4643,84406,2,78
104,5.06 ,79268,4643,84409,3,64
105,5.07 ,79324,4643,84415,6,56
106,5.08 ,79401,4643,84416,1,77
107,5.09 ,79488,4643,84430,14,87
108,5.10 ,79533,4643,84450,20,45
109,5.11 ,79566,4644,84451,1,33
110,5.12 ,79594,4644,84458,7,28
111,5.13 ,79621,4644,84464,6,27
112,5.14 ,79644,4644,84469,5,23
113,5.15 ,79668,4644,84478,9,24
114,5.16 ,79682,4645,84484,6,14
115,5.17 ,79701,4645,84494,10,19
116,5.18 ,79708,4645,84500,6,7
